"movieid1","movieid2","rating","username"
1,355,0,45
1,355,0,46
1,355,0,51
1,355,1,44
1,355,1,48
1,2294,0,45
1,2294,0,46
1,2294,0,48
1,2294,1,44
1,2294,1,50
1,2294,1,51
1,2294,1,52
1,2355,0,45
1,2355,0,46
1,2355,0,48
1,2355,1,44
1,2355,1,50
1,2355,1,51
1,2355,1,52
1,3114,1,44
1,3114,1,45
1,3114,1,46
1,3114,1,48
1,3114,1,50
1,3114,1,51
1,3114,1,52
1,4306,0,45
1,4306,0,46
1,4306,0,48
1,4306,0,50
1,4306,0,52
1,4306,1,44
1,4306,1,51
1,4886,0,45
1,4886,0,46
1,4886,0,48
1,4886,1,44
1,4886,1,50
1,4886,1,51
1,4886,1,52
1,7361,0,44
1,7361,0,45
1,7361,0,46
1,7361,0,48
1,7361,0,51
1,33794,0,45
1,33794,0,46
1,33794,0,48
1,33794,0,50
1,33794,0,51
1,33794,0,52
1,33794,1,44
1,53318,0,44
1,53318,0,45
1,53318,0,46
1,53318,0,48
1,53318,0,50
1,53318,0,51
1,53318,0,52
1,68954,0,45
1,68954,0,46
1,68954,0,48
1,68954,0,51
1,68954,1,44
1,68954,1,50
1,68954,1,52
1,78499,1,44
1,78499,1,45
1,78499,1,46
1,78499,1,48
1,78499,1,50
1,78499,1,51
1,78499,1,52
1,122880,0,44
1,122880,0,45
1,122880,0,46
1,122880,0,48
1,122880,0,51
6,16,1,127
6,111,1,127
6,257,1,127
6,428,0,127
6,858,1,127
6,1213,1,127
6,1221,1,127
6,1483,0,127
6,2278,0,127
6,2329,1,127
6,2762,1,127
6,3362,1,127
6,3468,0,127
6,4262,1,127
6,5867,1,127
6,6337,0,127
6,55805,0,127
6,55820,1,127
6,61697,0,127
6,70593,0,127
6,98847,0,127
6,102903,1,127
6,122799,0,127
10,161,1,143
10,165,1,143
10,380,1,143
10,648,1,143
10,1722,1,143
10,2948,1,143
10,2949,1,143
10,2989,1,143
10,2990,1,143
10,2991,1,143
10,3082,1,143
10,4005,1,143
10,5872,1,143
10,60684,0,143
10,91529,0,143
10,95963,0,143
